SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Kaeo,Kaikohe,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaeo,-35.15410315,173.74331968,Kaikohe,-35.40792422,173.79767516,28.65163323166534,Far North,Far North,Northland,Northland,WORK
Hokianga South,Kaikohe,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30,Hokianga South,-35.46801387,173.48438703,Kaikohe,-35.40792422,173.79767516,29.158317393900052,Far North,Far North,Northland,Northland,WORK
Lake Manuwai-Kapiro,Kaikohe,-999,27,6,-999,-999,-999,-999,-999,-999,-999,33,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Kaikohe,-35.40792422,173.79767516,25.788817745921673,Far North,Far North,Northland,Northland,WORK
Rangitane-Purerua,Kaikohe,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Rangitane-Purerua,-35.13418331,173.9391431,Kaikohe,-35.40792422,173.79767516,33.03704830517769,Far North,Far North,Northland,Northland,WORK
Riverview,Kaikohe,-999,30,9,-999,-999,-999,-999,-999,-999,-999,39,Riverview,-35.20805962,173.9624342,Kaikohe,-35.40792422,173.79767516,26.78467541682587,Far North,Far North,Northland,Northland,WORK
Waipoua Forest,Kaikohe,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,21,Waipoua Forest,-35.58128435,173.51134902,Kaikohe,-35.40792422,173.79767516,32.30355047700496,Far North,Far North,Northland,Northland,WORK
Haruru,Kaikohe,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Haruru,-35.27932636,174.05921268,Kaikohe,-35.40792422,173.79767516,27.698331876396107,Far North,Far North,Northland,Northland,WORK
Paihia,Kaikohe,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,21,Paihia,-35.28609895,174.09311792,Kaikohe,-35.40792422,173.79767516,30.025413474068237,Far North,Far North,Northland,Northland,WORK
Opua (Far North District),Kaikohe,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Opua (Far North District),-35.32270229,174.10002605,Kaikohe,-35.40792422,173.79767516,29.00777764960226,Far North,Far North,Northland,Northland,WORK
Russell Forest-Rawhiti,Kaikohe,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Russell Forest-Rawhiti,-35.36879174,174.22606034,Kaikohe,-35.40792422,173.79767516,39.07660673543557,Far North,Far North,Northland,Northland,WORK
Kawakawa,Kaikohe,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27,Kawakawa,-35.37897674,174.07575504,Kaikohe,-35.40792422,173.79767516,25.411348712336945,Far North,Far North,Northland,Northland,WORK
Rangaunu Harbour,Kerikeri Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Rangaunu Harbour,-34.91627744,173.13744282,Kerikeri Central,-35.22507309,173.95096304,81.61031890612324,Far North,Far North,Northland,Northland,WORK
