SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Opua (Mackenzie District),Fairlie,-999,9,39,-999,-999,-999,132,-999,-999,-999,183,Opua (Mackenzie District),-43.8561873,171.06857118,Fairlie,-44.09701087,170.82535345,33.10353706702332,Mackenzie,Mackenzie,EDUCATION
Pokuru,Hillcrest West (Hamilton City),-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Pokuru,-38.02371113,175.25791046,Hillcrest West (Hamilton City),-37.79546663,175.31326581,25.84008180138506,Waipa,Hamilton,EDUCATION
Waima-Woodlands Park,Albany Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Waima-Woodlands Park,-36.94665584,174.63541623,Albany Central,-36.72820186,174.70483518,25.064260539797946,Waitakere,Waitakere,EDUCATION
Otairi,College Estate,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Otairi,-39.8895865,175.52547495,College Estate,-39.9305007,175.03470499,42.10538063265066,Rangitikei,Wanganui,EDUCATION
Pokeno,Otara Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Pokeno,-37.24416888,175.02021530000005,Otara Central,-36.95593456,174.87677994,34.48238501678803,Franklin,Manukau,EDUCATION
Te Roti-Moeroa,Westown ,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Te Roti-Moeroa,-39.43904821,174.49347034,Westown,-39.0747742,174.06011109,55.07155859424114,South Taranaki,New Plymouth,EDUCATION
Cairnbrae,Lincoln West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Cairnbrae,-43.66455634,171.77355459,Lincoln West,-43.64345571,172.47791199,56.715288376191815,Ashburton,Selwyn,EDUCATION
Stanley Park,Hillcrest West (Hamilton City),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Stanley Park,-38.22081091,175.86351739,Hillcrest West (Hamilton City),-37.79546663,175.31326581,67.53529853488783,South Waikato,Hamilton,EDUCATION
Bethlehem Central,Auckland-University,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Bethlehem Central,-37.7065879,176.11498118,Auckland-University,-36.85143057,174.76906469,152.38687826070344,Western Bay of Plenty,Waitakere,EDUCATION
Bankside,Lincoln West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Bankside,-43.65857485,172.03741575,Lincoln West,-43.64345571,172.47791199,35.48034401347478,Selwyn,Selwyn,EDUCATION
Kawakawa,Whangarei Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawakawa,-35.37897674,174.07575504,Whangarei Central,-35.72846995,174.32430322,44.89778719625619,Far North,Whangarei,EDUCATION
Fairview Downs,Auckland-University,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Fairview Downs,-37.76127248,175.30316917,Auckland-University,-36.85143057,174.76906469,111.65443587838828,Hamilton,Waitakere,EDUCATION
Makahika,Poutoa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Makahika,-40.65174754,175.40147681,Poutoa,-40.390038200000006,175.64544144,35.666522803248704,Horowhenua,Palmerston North,EDUCATION
