SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Bucklands Beach South,Freemans Bay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Bucklands Beach South,-36.88980813,174.91318756,Freemans Bay,-36.85220128,174.7504171,15.070945597072644,Manukau,Waitakere,WORK
Clover Park South,Rosebank Peninsula,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Clover Park South,-36.98563252,174.89012173,Rosebank Peninsula,-36.88086056,174.67580445,22.32908592077158,Manukau,Waitakere,WORK
West Harbour Clearwater Cove,Otahuhu Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,West Harbour Clearwater Cove,-36.81054038,174.63704103,Otahuhu Central,-36.94175556,174.83604598,22.9393645582198,Waitakere,Waitakere,WORK
Weymouth North,East Tamaki,-999,96,12,-999,-999,-999,-999,-999,-999,-999,120,Weymouth North,-37.03938307,174.86530684,East Tamaki,-36.93823242,174.88712871,11.413209244942673,Franklin,Manukau,WORK
Highfield North,Temuka West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Highfield North,-44.38615156,171.22318733,Temuka West,-44.23697154,171.27660085,17.123821660463676,Timaru,Timaru,WORK
Drury Rural,Papatoetoe Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Drury Rural,-37.11220768,174.97476145,Papatoetoe Central,-36.97461746,174.85800659,18.47833421530909,Franklin,Manukau,WORK
Postgate,Hutt Central North,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Postgate,-41.11331454,174.88235004,Hutt Central North,-41.20872236,174.90664869,10.802119779781533,Porirua,Hutt city,WORK
Hillcrest East (Auckland),Silverdale Central (Auckland),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Hillcrest East (Auckland),-36.79435426,174.73620436,Silverdale Central (Auckland),-36.62402013,174.67493059999995,19.712159025704324,Waitakere,Rodney,WORK
Aidanfield,Brookhaven-Ferrymead,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Aidanfield,-43.56445434,172.56732388,Brookhaven-Ferrymead,-43.56010436,172.70020341,10.71764789122353,Christchurch,Christchurch,WORK
New Lynn Central South,Auckland Airport,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,33,New Lynn Central South,-36.91380003,174.68227832,Auckland Airport,-36.9891029,174.77400859,11.685661135965084,Waitakere,Manukau,WORK
