id,SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
W5639,Snells Beach,Ellerslie West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Snells Beach,-36.42024184,174.72518871,Ellerslie West,-36.89897117,174.80612464,53.71959846853961,Rodney,Waitakere,Auckland,Auckland,WORK
W6121,South Head,Auckland Airport,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,South Head,-36.59353204,174.31227374,Auckland Airport,-36.9891029,174.77400859,60.21003333554097,Rodney,Manukau,Auckland,Auckland,WORK
W6122,Puhoi Valley,Auckland Airport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Puhoi Valley,-36.46850912,174.62475233,Auckland Airport,-36.9891029,174.77400859,59.39597511183506,Rodney,Manukau,Auckland,Auckland,WORK
W6123,Tawharanui Peninsula,Auckland Airport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Tawharanui Peninsula,-36.36596181,174.79183013,Auckland Airport,-36.9891029,174.77400859,69.30835205689422,Rodney,Manukau,Auckland,Auckland,WORK
W6124,Te Kuru,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Te Kuru,-36.60344402,174.48396116,Auckland Airport,-36.9891029,174.77400859,50.05964621718832,Rodney,Manukau,Auckland,Auckland,WORK
W6125,Snells Beach,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Snells Beach,-36.42024184,174.72518871,Auckland Airport,-36.9891029,174.77400859,63.40400904717515,Rodney,Manukau,Auckland,Auckland,WORK
W6126,Barrier Islands,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Barrier Islands,-36.20109801,175.42316367,Auckland Airport,-36.9891029,174.77400859,105.05268616515541,Auckland,Manukau,Auckland,Auckland,WORK
W6127,Helensville Rural,Auckland Airport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Helensville Rural,-36.64952348,174.4986995,Auckland Airport,-36.9891029,174.77400859,45.01497667411036,Rodney,Manukau,Auckland,Auckland,WORK
W6128,Helensville,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Helensville,-36.67496915,174.45425272,Auckland Airport,-36.9891029,174.77400859,45.05527357111572,Rodney,Manukau,Auckland,Auckland,WORK
W6131,Orewa North,Auckland Airport,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Orewa North,-36.58108865,174.67586463,Auckland Airport,-36.9891029,174.77400859,46.20331440257435,Rodney,Manukau,Auckland,Auckland,WORK
W6132,Orewa South,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Orewa South,-36.59013546,174.685784,Auckland Airport,-36.9891029,174.77400859,45.0534234111091,Rodney,Manukau,Auckland,Auckland,WORK
W6133,Orewa Central,Auckland Airport,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Orewa Central,-36.58726477,174.69445280000005,Auckland Airport,-36.9891029,174.77400859,45.24050538778351,Rodney,Manukau,Auckland,Auckland,WORK
W6634,Pukekawa,Auckland Airport,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Pukekawa,-37.35591115,175.00526866,Auckland Airport,-36.9891029,174.77400859,45.644720102978795,Franklin,Manukau,Waikato,Auckland,WORK
W6635,Maramarua,Auckland Airport,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Maramarua,-37.27897408,175.21484861,Auckland Airport,-36.9891029,174.77400859,50.65666382578332,Waikato,Manukau,Waikato,Auckland,WORK
W6636,Te Kauwhata,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Te Kauwhata,-37.4025191,175.14802087,Auckland Airport,-36.9891029,174.77400859,56.66286400374239,Waikato,Manukau,Waikato,Auckland,WORK
W6637,Huntly East,Auckland Airport,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Huntly East,-37.55408564,175.16553246,Auckland Airport,-36.9891029,174.77400859,71.74232621219629,Waikato,Manukau,Waikato,Auckland,WORK
W6801,South Head,Rosebank Peninsula,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,South Head,-36.59353204,174.31227374,Rosebank Peninsula,-36.88086056,174.67580445,45.49892970841975,Rodney,Waitakere,Auckland,Auckland,WORK
W7135,South Head,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,South Head,-36.59353204,174.31227374,Newmarket,-36.86853889,174.77706299,51.48560966729827,Rodney,Waitakere,Auckland,Auckland,WORK
W7136,Kaipara Hills,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaipara Hills,-36.46348663,174.48881947,Newmarket,-36.86853889,174.77706299,51.86074623126679,Rodney,Waitakere,Auckland,Auckland,WORK
W7137,Puhoi Valley,Newmarket,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Puhoi Valley,-36.46850912,174.62475233,Newmarket,-36.86853889,174.77706299,46.50938436640706,Rodney,Waitakere,Auckland,Auckland,WORK
W7138,Warkworth East,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Warkworth East,-36.40528692,174.66791942,Newmarket,-36.86853889,174.77706299,52.42373306808011,Rodney,Waitakere,Auckland,Auckland,WORK
W7806,South Head,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,South Head,-36.59353204,174.31227374,Parnell West,-36.85679261,174.77798053,50.79013321645081,Rodney,Waitakere,Auckland,Auckland,WORK
W7807,Puhoi Valley,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Puhoi Valley,-36.46850912,174.62475233,Parnell West,-36.85679261,174.77798053,45.28676528630693,Rodney,Waitakere,Auckland,Auckland,WORK
W7808,Warkworth East,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Warkworth East,-36.40528692,174.66791942,Parnell West,-36.85679261,174.77798053,51.156712913543316,Rodney,Waitakere,Auckland,Auckland,WORK
W8334,Snells Beach,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Snells Beach,-36.42024184,174.72518871,Henderson Central,-36.88968581,174.62928426,52.89620423264203,Rodney,Waitakere,Auckland,Auckland,WORK
W8573,South Head,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,South Head,-36.59353204,174.31227374,East Tamaki,-36.93823242,174.88712871,63.962206959852885,Rodney,Manukau,Auckland,Auckland,WORK
W8574,Te Kuru,East Tamaki,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,Te Kuru,-36.60344402,174.48396116,East Tamaki,-36.93823242,174.88712871,51.724191406654576,Rodney,Manukau,Auckland,Auckland,WORK
W8575,Snells Beach,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Snells Beach,-36.42024184,174.72518871,East Tamaki,-36.93823242,174.88712871,59.38072959494518,Rodney,Manukau,Auckland,Auckland,WORK
