SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Glenholme South,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Glenholme South,-38.15361117,176.24756632,Auckland-University,-36.85143057,174.76906469,194.8691568625784,Rotorua,Waitakere,Bay of Plenty,Auckland,EDUCATION
Lynmore,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Lynmore,-38.14940578,176.28895362,Auckland-University,-36.85143057,174.76906469,196.99068575616693,Rotorua,Waitakere,Bay of Plenty,Auckland,EDUCATION
Westown ,Auckland-University,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12,Westown,-39.0747742,174.06011109,Auckland-University,-36.85143057,174.76906469,254.9145330895776,New Plymouth,Waitakere,Taranaki,Auckland,EDUCATION
Manaia-Kapuni,Raumanga,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Manaia-Kapuni,-39.51778061,174.12379578,Raumanga,-35.74968804,174.29896302,419.27632712529146,South Taranaki,Whangarei,Taranaki,Northland,EDUCATION
Bream Bay,Hilltop (Taupo District),-999,-999,-999,-999,-999,-999,6,-999,-999,-999,6,Bream Bay,-35.91496801,174.38390319,Hilltop (Taupo District),-38.69976213,176.09915047,344.7999792325415,Whangarei,Taupo,Northland,Waikato,EDUCATION
Millwater North,Silverdale (Hamilton City),-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,Millwater North,-36.6014983,174.67227556,Silverdale (Hamilton City),-37.79128988,175.32912389,144.52516602801253,Rodney,Waikato,Auckland,Waikato,EDUCATION
Millwater South,Silverdale (Hamilton City),-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,Millwater South,-36.61231012,174.67000848,Silverdale (Hamilton City),-37.79128988,175.32912389,143.50535156633458,Rodney,Waikato,Auckland,Waikato,EDUCATION
Western Heights (Auckland),Western Heights (Rotorua District),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Western Heights (Auckland),-36.88738067,174.61313879,Western Heights (Rotorua District),-38.12374566,176.22097675,197.51597198705252,Waitakere,Rotorua,Auckland,Waikato,EDUCATION
Waiwhetu,New Lynn Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Waiwhetu,-41.22552582,174.91742982,New Lynn Central,-36.90748467,174.68596571,480.55934040621065,Hutt city,Waitakere,Wellington,Auckland,EDUCATION
Kelburn,Shortland Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kelburn,-41.28798133,174.76045619,Shortland Street,-36.84736853,174.76823915,493.7740710384239,Wellington,Waitakere,Wellington,Auckland,EDUCATION
Aro Valley,Shortland Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Aro Valley,-41.29574618,174.75986554,Shortland Street,-36.84736853,174.76823915,494.6375538958201,Wellington,Waitakere,Wellington,Auckland,EDUCATION
Wellington University,Shortland Street,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Wellington University,-41.289084,174.7676253,Shortland Street,-36.84736853,174.76823915,493.8962287015338,Wellington,Waitakere,Wellington,Auckland,EDUCATION
Wellington Central,Shortland Street,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Wellington Central,-41.2849345,174.77572593,Shortland Street,-36.84736853,174.76823915,493.4352452272903,Wellington,Waitakere,Wellington,Auckland,EDUCATION
Dixon Street,Shortland Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Dixon Street,-41.29101921,174.77469531,Shortland Street,-36.84736853,174.76823915,494.1117252808213,Wellington,Waitakere,Wellington,Auckland,EDUCATION
Washington,Eden Terrace,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Washington,-41.27521882,173.26654466,Eden Terrace,-36.86462613,174.75964083,507.0669121515943,Nelson,Waitakere,Nelson,Auckland,EDUCATION
Glendowie North,Campus South,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Glendowie North,-36.85540475,174.87371093,Campus South,-45.86793792,170.51211679,1065.7696583901904,Waitakere,Dunedin,Auckland,Otago,EDUCATION
Wadestown,Campus South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Wadestown,-41.26222883,174.77572711,Campus South,-45.86793792,170.51211679,616.4615539257037,Wellington,Dunedin,Wellington,Otago,EDUCATION
Highfield North,Campus South,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Highfield North,-44.38615156,171.22318733,Campus South,-45.86793792,170.51211679,173.95244993771018,Timaru,Dunedin,Canterbury,Otago,EDUCATION
Wakatipu Basin,Campus South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Wakatipu Basin,-44.97140971,168.78382667,Campus South,-45.86793792,170.51211679,167.7237837667131,Queenstown-Lakes,Dunedin,Otago,Otago,EDUCATION
Delaney,Puniu,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Delaney,-41.1864706,174.97924526,Puniu,-38.28518422,175.55136504,326.29411403969544,Hutt city,Otorohanga,Wellington,Waikato,EDUCATION
Waipaoa,McLean Park,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Waipaoa,-38.34127548,177.70733968,McLean Park,-39.5083024,176.9160949,146.71124415193358,Gisborne,Hastings,Gisborne,Hawke's Bay,EDUCATION
Owhanga,McLean Park,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Owhanga,-40.51321329,176.31039241,McLean Park,-39.5083024,176.9160949,123.07281493441424,Tararua,Hastings,Manawatu-Wanganui,Hawke's Bay,EDUCATION
Marewa East,Gisborne Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Marewa East,-39.50747604,176.90676197,Gisborne Central,-38.66778237,178.02299313,134.15857935908613,Hastings,Gisborne,Hawke's Bay,Gisborne,EDUCATION
Kaiti South,Otaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaiti South,-38.67922301,178.03919529,Otaki,-40.75304139,175.13966802,338.60977168771166,Gisborne,Kapiti Coast,Gisborne,Wellington,EDUCATION
Tangiwai,Kimbolton North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tangiwai,-39.36236325,175.16766499,Kimbolton North,-40.2074565,175.58214784,100.42234824609459,Ruapehu,Manawatu,Manawatu-Wanganui,Manawatu-Wanganui,EDUCATION
Churton Park North,Turitea,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Churton Park North,-41.19767254,174.81365567,Turitea,-40.39053678,175.60862529,111.95178392120847,Wellington,Palmerston North,Wellington,Manawatu-Wanganui,EDUCATION
Enner Glynn,Turitea,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Enner Glynn,-41.31495427,173.26437329,Turitea,-40.39053678,175.60862529,222.34239389145355,Nelson,Palmerston North,Nelson,Manawatu-Wanganui,EDUCATION
Ilam North,Nelson Central-Trafalgar,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Ilam North,-43.51329549,172.5691116,Nelson Central-Trafalgar,-41.27273863,173.28210878,255.923551473046,Christchurch,Nelson,Canterbury,Nelson,EDUCATION
Ilam University,Nelson Central-Trafalgar,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,12,Ilam University,-43.52336127,172.57826459,Nelson Central-Trafalgar,-41.27273863,173.28210878,256.8420781589935,Christchurch,Nelson,Canterbury,Nelson,EDUCATION
Bush Inn,Nelson Central-Trafalgar,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Bush Inn,-43.52942223,172.576402,Nelson Central-Trafalgar,-41.27273863,173.28210878,257.5325046118435,Christchurch,Nelson,Canterbury,Nelson,EDUCATION
