id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W32733,Taungatara,Taungatara,WORK_AT_HOME,405,EDUCATION,Taungatara,-39.44771938,173.97542033,Taungatara,-39.44771938,173.97542033,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W32740,Opunake,Opunake,WORK_AT_HOME,78,EDUCATION,Opunake,-39.45132365,173.85878435,Opunake,-39.45132365,173.85878435,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W32786,Te Roti-Moeroa,Te Roti-Moeroa,WORK_AT_HOME,189,EDUCATION,Te Roti-Moeroa,-39.43904821,174.49347034,Te Roti-Moeroa,-39.43904821,174.49347034,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W32792,Manutahi-Waitotora,Manutahi-Waitotora,WORK_AT_HOME,270,EDUCATION,Manutahi-Waitotora,-39.78384701,174.57529167,Manutahi-Waitotora,-39.78384701,174.57529167,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,2
W32800,Ohangai,Ohangai,WORK_AT_HOME,126,EDUCATION,Ohangai,-39.53843359,174.44896319,Ohangai,-39.53843359,174.44896319,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W32804,Mangawhio,Mangawhio,WORK_AT_HOME,195,EDUCATION,Mangawhio,-39.61067493,174.74556695,Mangawhio,-39.61067493,174.74556695,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W33074,Laird Park,Laird Park,WORK_AT_HOME,102,EDUCATION,Laird Park,-39.91964278,175.04579452,Laird Park,-39.91964278,175.04579452,0.0,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,25
W32875,Otangiwai-Ohura,Otangiwai-Ohura,WORK_AT_HOME,297,EDUCATION,Otangiwai-Ohura,-38.86696248,175.00298022,Otangiwai-Ohura,-38.86696248,175.00298022,0.0,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,1
W32899,National Park,National Park,WORK_AT_HOME,162,EDUCATION,National Park,-39.11630156,175.37193356,National Park,-39.11630156,175.37193356,0.0,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,1
W32901,Tangiwai,Tangiwai,WORK_AT_HOME,261,EDUCATION,Tangiwai,-39.36236325,175.16766499,Tangiwai,-39.36236325,175.16766499,0.0,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,1
W32908,Raetihi,Raetihi,WORK_AT_HOME,78,EDUCATION,Raetihi,-39.42926305,175.27603962,Raetihi,-39.42926305,175.27603962,0.0,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,1
W32912,Ohakune,Ohakune,WORK_AT_HOME,114,EDUCATION,Ohakune,-39.41156448,175.41465037,Ohakune,-39.41156448,175.41465037,0.0,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,1
W32915,Waiouru,Waiouru,WORK_AT_HOME,66,EDUCATION,Waiouru,-39.46984453,175.67763799,Waiouru,-39.46984453,175.67763799,0.0,Ruapehu,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui,1
W32919,Upper Whanganui,Upper Whanganui,WORK_AT_HOME,219,EDUCATION,Upper Whanganui,-39.70091534,175.16952733,Upper Whanganui,-39.70091534,175.16952733,0.0,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,1
W33107,Mowhanau,Mowhanau,WORK_AT_HOME,186,EDUCATION,Mowhanau,-39.84344675,174.90288293,Mowhanau,-39.84344675,174.90288293,0.0,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,1
W34192,Milson North,Milson North,WORK_AT_HOME,111,EDUCATION,Milson North,-40.32708272,175.60731249,Milson North,-40.32708272,175.60731249,0.0,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,63
W33348,Mokai Patea,Mokai Patea,WORK_AT_HOME,489,EDUCATION,Mokai Patea,-39.59566818,175.89442958,Mokai Patea,-39.59566818,175.89442958,0.0,Rangitikei,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui,1
