id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W27828,Bird Area,Taupo Central West,PASSENGER_IN_VEHICLE,12,EDUCATION,Bird Area,-38.69357961,176.0859815,Taupo Central West,-38.6847684,176.07304191,1.490372843323874,Taupo,Taupo,Waikato,Waikato,17
W29930,Te Hapara East,Gisborne Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Te Hapara East,-38.6560244,178.01721277,Gisborne Central,-38.66778237,178.02299313,1.4004478113502266,Gisborne,Gisborne,Gisborne,Gisborne,46
W30789,Mahora,Hastings Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Mahora,-39.62404962,176.84888085,Hastings Central,-39.63962329,176.84642759,1.7444107205612978,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,65
W32080,Fitzroy-Glen Avon,New Plymouth Central,PASSENGER_IN_VEHICLE,15,EDUCATION,Fitzroy-Glen Avon,-39.07427128,174.12360445,New Plymouth Central,-39.05700192,174.07537454,4.585358308177256,New Plymouth,New Plymouth,Taranaki,Taranaki,39
W32824,College Estate,Whanganui Central,PASSENGER_IN_VEHICLE,6,EDUCATION,College Estate,-39.9305007,175.03470499,Whanganui Central,-39.93513676,175.04701799,1.1695912693745298,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,21
W33400,Makino,Feilding Central,PASSENGER_IN_VEHICLE,18,EDUCATION,Makino,-40.20622477,175.56555066,Feilding Central,-40.23865803,175.58114321,3.8417151876853617,Manawatu,Manawatu,Manawatu-Wanganui,Manawatu-Wanganui,8
W33303,Papaioea North,Palmerston North Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Papaioea North,-40.34721244,175.61892073,Palmerston North Central,-40.35537702,175.61010962,1.175460152669967,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,45
W34919,Korokoro,Wellington Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Korokoro,-41.21562751,174.86781402,Wellington Central,-41.2849345,174.77572593,10.893113007403805,Hutt city,Wellington,Wellington,Wellington,255
W34678,Douglas Park,Masterton Central,PASSENGER_IN_VEHICLE,15,EDUCATION,Douglas Park,-40.94626766,175.65254353,Masterton Central,-40.95047108,175.66167048,0.8977936275506387,Masterton,Masterton,Wellington,Wellington,12
W34716,Playford Park,Tararua,PASSENGER_IN_VEHICLE,9,EDUCATION,Playford Park,-40.62888671,175.29037198,Tararua,-40.64205371,175.30927003,2.1648424817334897,Horowhenua,Horowhenua,Manawatu-Wanganui,Manawatu-Wanganui,10
W35288,Paraparaumu Central,Paraparaumu Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Paraparaumu Central,-40.90799495,174.99886348,Paraparaumu Central,-40.90799495,174.99886348,0.0,Kapiti Coast,Kapiti Coast,Wellington,Wellington,15
W39699,Toi Toi,Nelson Central-Trafalgar,PASSENGER_IN_VEHICLE,6,EDUCATION,Toi Toi,-41.28540651,173.26170072,Nelson Central-Trafalgar,-41.27273863,173.28210878,2.2118888949460187,Nelson,Nelson,Nelson,Nelson,19
