id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E14069,Newbury,Tremaine,BUS,12,EDUCATION,Newbury,-40.33398879,175.57992885,Tremaine,-40.33969042,175.59865691,1.7092894837658132,Manawatu,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,136
E14747,Carterton North,Solway North,BUS,21,EDUCATION,Carterton North,-41.01943446,175.52683939,Solway North,-40.9574562,175.63029837,11.086171900258334,Carterton,Masterton,Wellington,Wellington,40
E16217,Petone Central,Hutt Central South,BUS,6,EDUCATION,Petone Central,-41.22362356,174.86969444,Hutt Central South,-41.21349159,174.90936129,3.5038421531476764,Hutt city,Hutt city,Wellington,Wellington,575
E17467,Aldinga,Nelson Central-Trafalgar,BUS,6,EDUCATION,Aldinga,-41.31388017,173.22157736,Nelson Central-Trafalgar,-41.27273863,173.28210878,6.819280853072526,Nelson,Nelson,Nelson,Nelson,62
E17492,Motueka West,Motueka West,BUS,9,EDUCATION,Motueka West,-41.12544913,172.99560963,Motueka West,-41.12544913,172.99560963,0.0,Tasman,Tasman,Nelson,Nelson,11
E17847,Spring Creek-Grovetown,Springlands,BUS,24,EDUCATION,Spring Creek-Grovetown,-41.47495673,173.96410184,Springlands,-41.50422292,173.93617831,3.9999651500545537,Marlborough,Marlborough,Marlborough,Marlborough,21
E18393,Holmwood,Christchurch Central-South,BUS,6,EDUCATION,Holmwood,-43.519344,172.6084094,Christchurch Central-South,-43.53815861,172.64240289,3.447809736595848,Christchurch,Christchurch,Canterbury,Canterbury,469
E18883,Darfield,Darfield,BUS,12,EDUCATION,Darfield,-43.49796117,172.09991696,Darfield,-43.49796117,172.09991696,0.0,Selwyn,Selwyn,Canterbury,Canterbury,8
E20675,Chertsey,Rakaia,BUS,15,EDUCATION,Chertsey,-43.82506248,171.96646486,Rakaia,-43.74700637,172.00903425,9.327932952738434,Ashburton,Ashburton,Canterbury,Canterbury,10
E20806,Tinwald South,Allenton East,BUS,57,EDUCATION,Tinwald South,-43.92478814,171.71822146,Allenton East,-43.89118299,171.75756446,4.8884506529967435,Ashburton,Ashburton,Canterbury,Canterbury,23
E20836,Levels,Highfield North,BUS,6,EDUCATION,Levels,-44.29433296,171.25526363,Highfield North,-44.38615156,171.22318733,10.523614941397742,Timaru,Timaru,Canterbury,Canterbury,42
E20852,Levels Valley,Fraser Park,BUS,12,EDUCATION,Levels Valley,-44.27189292,171.01446242,Fraser Park,-44.39596592,171.23045071,22.032820684408044,Timaru,Timaru,Canterbury,Canterbury,8
E21211,Oamaru North Orana Park,Lower Waitaki,BUS,6,EDUCATION,Oamaru North Orana Park,-45.08058565,170.97765366,Lower Waitaki,-45.00239341,171.02035686,9.319492817678134,Waitaki,Waitaki,Otago,Otago,10
E21387,Frankton,Warren Park,BUS,9,EDUCATION,Frankton,-45.01825697,168.74585281,Warren Park,-45.02264371,168.66173004,6.629901382604528,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,23
E22147,Rosedale,Georgetown,BUS,6,EDUCATION,Rosedale,-46.38971341,168.36796259,Georgetown,-46.41932389,168.36900636,3.2935076796038882,Invercargill,Invercargill,Southland,Southland,38
