SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Glendene South,Queen Street,DRIVE_OWN_VEHICLE,9,EDUCATION,Glendene South,-36.89691229,174.65416828,Queen Street,-36.84774104,174.76524972,11.292896030349235,Waitakere,Waitakere
One Tree Hill,Albany Central,DRIVE_OWN_VEHICLE,6,EDUCATION,One Tree Hill,-36.90124562,174.78219928,Albany Central,-36.72820186,174.70483518,20.436948974760767,Waitakere,Waitakere
Kingsway,Albany Central,DRIVE_OWN_VEHICLE,21,EDUCATION,Kingsway,-36.60606427,174.68651435,Albany Central,-36.72820186,174.70483518,13.679031399728515,Rodney,Waitakere
Mission Heights South,Auckland-University,DRIVE_OWN_VEHICLE,18,EDUCATION,Mission Heights South,-36.96503986,174.9321751,Auckland-University,-36.85143057,174.76906469,19.232917607297694,Manukau,Waitakere
Epsom Central-South,Auckland-University,DRIVE_OWN_VEHICLE,33,EDUCATION,Epsom Central-South,-36.89675875,174.76787408,Auckland-University,-36.85143057,174.76906469,5.0413761756214255,Waitakere,Waitakere
Hamilton East Village,Hamilton West,DRIVE_OWN_VEHICLE,24,EDUCATION,Hamilton East Village,-37.79028168,175.29324653,Hamilton West,-37.80074182,175.2844169,1.3981224556941618,Hamilton,Hamilton
Epsom Central-South,Mount St John,DRIVE_OWN_VEHICLE,6,EDUCATION,Epsom Central-South,-36.89675875,174.76787408,Mount St John,-36.88236812,174.78035947,1.947674404510864,Waitakere,Waitakere
Rototuna Central,Auckland-University,DRIVE_OWN_VEHICLE,6,EDUCATION,Rototuna Central,-37.72662295,175.26539165,Auckland-University,-36.85143057,174.76906469,106.7631910136843,Hamilton,Waitakere
Weymouth North,Auckland-University,DRIVE_OWN_VEHICLE,18,EDUCATION,Weymouth North,-37.03938307,174.86530684,Auckland-University,-36.85143057,174.76906469,22.581725999786986,Franklin,Waitakere
Wainui-Waiwera,Orewa South,DRIVE_OWN_VEHICLE,6,EDUCATION,Wainui-Waiwera,-36.58514355,174.56341509,Orewa South,-36.59013546,174.685784,10.939618868875025,Rodney,Rodney
Ben Cooper Park,Nelson Central-Trafalgar,DRIVE_OWN_VEHICLE,15,EDUCATION,Ben Cooper Park,-41.34508297,173.17589231,Nelson Central-Trafalgar,-41.27273863,173.28210878,11.975781956336295,Tasman,Nelson
Tainui,Campus South,DRIVE_OWN_VEHICLE,21,EDUCATION,Tainui,-45.90348586,170.52778609,Campus South,-45.86793792,170.51211679,4.134634400541741,Dunedin,Dunedin
New Windsor North,Auckland-University,DRIVE_OWN_VEHICLE,15,EDUCATION,New Windsor North,-36.90238578,174.71253897,Auckland-University,-36.85143057,174.76906469,7.57510749060912,Waitakere,Waitakere
Mount Albert Central,Mount Albert West,DRIVE_OWN_VEHICLE,9,EDUCATION,Mount Albert Central,-36.88345034,174.72339665,Mount Albert West,-36.88204623,174.70769409,1.4053010013543377,Waitakere,Waitakere
Pahurehure,Auckland-University,DRIVE_OWN_VEHICLE,12,EDUCATION,Pahurehure,-37.06864785,174.93272857,Auckland-University,-36.85143057,174.76906469,28.19307118347816,Franklin,Waitakere
Lower Vogeltown,Spotswood,DRIVE_OWN_VEHICLE,6,EDUCATION,Lower Vogeltown,-39.07209853,174.0782174,Spotswood,-39.07096507,174.02427884,4.65807324351888,New Plymouth,New Plymouth
Pomare,Pomare,DRIVE_OWN_VEHICLE,6,EDUCATION,Pomare,-38.15440452,176.2216546,Pomare,-38.15440452,176.2216546,0.0,Rotorua,Rotorua
Richmond North (Christchurch City),Christchurch Central-South,DRIVE_OWN_VEHICLE,30,EDUCATION,Richmond North (Christchurch City),-43.51297088,172.65862627,Christchurch Central-South,-43.53815861,172.64240289,3.0911206563441773,Christchurch,Christchurch
Mount Holdsworth,Masterton Central,DRIVE_OWN_VEHICLE,9,EDUCATION,Mount Holdsworth,-40.91709663,175.45136445,Masterton Central,-40.95047108,175.66167048,18.052138966756576,Carterton,Masterton
