SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Daelyn,Richmond Central (Tasman District),PASSENGER_IN_VEHICLE,24,EDUCATION,Daelyn,-41.33817502,173.21258863,Richmond Central (Tasman District),-41.33750365,173.18938637,1.9385546057136105,Tasman,Tasman
Flaxmere Park,Raureka,PASSENGER_IN_VEHICLE,9,EDUCATION,Flaxmere Park,-39.62368341,176.78714711,Raureka,-39.64068599,176.82489735,3.745071427983637,Hastings city,Hastings city
Ngongotaha Valley,Utuhina,PASSENGER_IN_VEHICLE,6,EDUCATION,Ngongotaha Valley,-38.14347351,176.15742503,Utuhina,-38.14249953,176.23214439,6.535230934660916,Rotorua,Rotorua
Tuakau South,Tuakau South,PASSENGER_IN_VEHICLE,30,EDUCATION,Tuakau South,-37.28146265,174.94066878,Tuakau South,-37.28146265,174.94066878,0.0,Franklin,Franklin
Warkworth West,Dome Valley-Matakana,PASSENGER_IN_VEHICLE,9,EDUCATION,Warkworth West,-36.38893228,174.65160073,Dome Valley-Matakana,-36.34097815,174.68669921,6.189485202265173,Rodney,Rodney
Papakura Kelvin,Takanini South East,PASSENGER_IN_VEHICLE,15,EDUCATION,Papakura Kelvin,-37.05933436,174.96239449,Takanini South East,-37.04902013,174.94514981,1.9123808908309223,Franklin,Franklin
Goodwood Heights,Manukau Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Goodwood Heights,-36.99421746,174.89732834,Manukau Central,-36.99138991,174.86947528,2.4936040107634447,Franklin,Manukau
Mount Pleasant,Mount Pleasant,PASSENGER_IN_VEHICLE,120,EDUCATION,Mount Pleasant,-43.56433719,172.71890228,Mount Pleasant,-43.56433719,172.71890228,0.0,Christchurch,Christchurch
Waipaoa,Te Hapara East,PASSENGER_IN_VEHICLE,15,EDUCATION,Waipaoa,-38.34127548,177.70733968,Te Hapara East,-38.6560244,178.01721277,44.18222619665738,Gisborne,Gisborne
Tremaine,Roslyn (Palmerston North City),PASSENGER_IN_VEHICLE,6,EDUCATION,Tremaine,-40.33969042,175.59865691,Roslyn (Palmerston North City),-40.33547398,175.62895929,2.610801338765528,Palmerston North,Palmerston North
