SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Hillcrest North (Auckland),Queen Street,PUBLIC_BUS,12,EDUCATION,Hillcrest North (Auckland),-36.79003781,174.74379298,Queen Street,-36.84774104,174.76524972,6.694550319440538,Waitakere,Waitakere
Somerfield West,Ilam University,PUBLIC_BUS,18,EDUCATION,Somerfield West,-43.56590241,172.61924876,Ilam University,-43.52336127,172.57826459,5.769556649617367,Christchurch,Christchurch
Crawshaw,Hillcrest West (Hamilton City),PUBLIC_BUS,6,EDUCATION,Crawshaw,-37.77209972,175.23499752,Hillcrest West (Hamilton City),-37.79546663,175.31326581,7.352652017202259,Hamilton,Hamilton
Botany Downs West,Auckland-University,PUBLIC_BUS,39,EDUCATION,Botany Downs West,-36.90954846,174.91414564,Auckland-University,-36.85143057,174.76906469,14.431789143961964,Manukau,Waitakere
Glenholme North,Tihiotonga-Whakarewarewa,PUBLIC_BUS,12,EDUCATION,Glenholme North,-38.14741329,176.24606798,Tihiotonga-Whakarewarewa,-38.16412016,176.25173097,1.9225751758922969,Rotorua,Rotorua
Takapuna Central,Takapuna West,PUBLIC_BUS,9,EDUCATION,Takapuna Central,-36.78202515,174.76947038,Takapuna West,-36.78910918,174.76117008,1.0802149189922599,Waitakere,Waitakere
Newtown South,Pipitea-Kaiwharawhara,PUBLIC_BUS,18,EDUCATION,Newtown South,-41.32048296,174.78439861,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,4.926528518498621,Wellington,Wellington
Unsworth Heights West,Auckland-University,PUBLIC_BUS,51,EDUCATION,Unsworth Heights West,-36.75886381,174.71130257,Auckland-University,-36.85143057,174.76906469,11.506154372334011,Waitakere,Waitakere
Greenhithe East,Takapuna West,PUBLIC_BUS,24,EDUCATION,Greenhithe East,-36.7641032,174.68932537,Takapuna West,-36.78910918,174.76117008,6.976830009072847,Waitakere,Waitakere
Glenleith,Dunedin Central,PUBLIC_BUS,6,EDUCATION,Glenleith,-45.84321396,170.49960706,Dunedin Central,-45.87712471,170.50291221,3.7793796240214665,Dunedin,Dunedin
Otumoetai South,Bellevue,PUBLIC_BUS,9,EDUCATION,Otumoetai South,-37.67691846,176.14437130000005,Bellevue,-37.67938337,176.1292392,1.3596278653266298,Western Bay of Plenty,Western Bay of Plenty
Parnell East,Auckland-University,PUBLIC_BUS,42,EDUCATION,Parnell East,-36.85621249,174.78751844,Auckland-University,-36.85143057,174.76906469,1.7258679396236616,Waitakere,Waitakere
Kumeu-Huapai,Auckland-University,PUBLIC_BUS,9,EDUCATION,Kumeu-Huapai,-36.76998293,174.54286666,Auckland-University,-36.85143057,174.76906469,22.080066892030707,Rodney,Waitakere
Eastern Bays ,Thorndon,PUBLIC_BUS,9,EDUCATION,Eastern Bays,-41.28078028,174.90926531,Thorndon,-41.27246445,174.77422734,11.322497134904792,Hutt city,Wellington
Ashley-Sefton,Redwood East,PUBLIC_BUS,9,EDUCATION,Ashley-Sefton,-43.24549574,172.65358254,Redwood East,-43.47970507,172.62290932,26.160672275301327,Waimakariri,Christchurch
