SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Hataitai North,Strathmore (Wellington City),SCHOOL_BUS,18,EDUCATION,Hataitai North,-41.30162529,174.79629811,Strathmore (Wellington City),-41.33164104,174.82054496,3.9038619842588833,Wellington,Wellington
Kennington-Tisbury,Rosedale,SCHOOL_BUS,12,EDUCATION,Kennington-Tisbury,-46.42133008,168.42196326,Rosedale,-46.38971341,168.36796259,5.431669430863406,Invercargill,Invercargill
Wainuiomata West,Hutt Central South,SCHOOL_BUS,15,EDUCATION,Wainuiomata West,-41.25104641,174.93287708,Hutt Central South,-41.21349159,174.90936129,4.615755262620412,Hutt city,Hutt city
Moutere Hills,Motueka West,SCHOOL_BUS,30,EDUCATION,Moutere Hills,-41.26413088,173.0336074,Motueka West,-41.12544913,172.99560963,15.745040535543835,Tasman,Tasman
Lepperton-Brixton,Inglewood,SCHOOL_BUS,9,EDUCATION,Lepperton-Brixton,-39.03478152,174.21868922,Inglewood,-39.15653753,174.20152057,13.619480256444644,New Plymouth,New Plymouth
Rotoorangi,Hautapu,SCHOOL_BUS,9,EDUCATION,Rotoorangi,-38.02123915,175.43705434,Hautapu,-37.87894521,175.44370869,15.833118628601337,Waipa,Waipa
Putararu Rural,Rotongata,SCHOOL_BUS,6,EDUCATION,Putararu Rural,-38.09657792,175.73244372,Rotongata,-38.09897589,175.54852216,16.09641738035778,South Waikato,Waipa
Marotiri,Moananui,SCHOOL_BUS,6,EDUCATION,Marotiri,-38.51214377,175.78064218,Moananui,-38.23905279,175.8629699,31.202861971313748,Taupo,South Waikato
Glen Eden West,Henderson Lincoln South,SCHOOL_BUS,9,EDUCATION,Glen Eden West,-36.91301994,174.62881821,Henderson Lincoln South,-36.86722468,174.62367505,5.112701388005791,Waitakere,Waitakere
Homedale West,Hutt Central South,SCHOOL_BUS,12,EDUCATION,Homedale West,-41.2741023,174.94976407,Hutt Central South,-41.21349159,174.90936129,7.5387863104565165,Hutt city,Hutt city
