SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Burnside,Jellie Park,OTHER,6,EDUCATION,Burnside,-43.50309147,172.5759413,Jellie Park,-43.51329391,172.58360326,1.291826756631433,Christchurch,Christchurch
College Estate,College Estate,OTHER,12,EDUCATION,College Estate,-39.9305007,175.03470499,College Estate,-39.9305007,175.03470499,0.0,Wanganui,Wanganui
New Lynn South,New Lynn South,OTHER,6,EDUCATION,New Lynn South,-36.92110202,174.68283768,New Lynn South,-36.92110202,174.68283768,0.0,Waitakere,Waitakere
Merivale,Merivale,OTHER,9,EDUCATION,Merivale,-43.51635206,172.61911331,Merivale,-43.51635206,172.61911331,0.0,Christchurch,Christchurch
Halswell North,Halswell South,OTHER,6,EDUCATION,Halswell North,-43.57394904,172.5780119,Halswell South,-43.58945552,172.56528263,2.0060669002446674,Christchurch,Christchurch
Riverhead,Riverhead,OTHER,6,EDUCATION,Riverhead,-36.75810331,174.58371179,Riverhead,-36.75810331,174.58371179,0.0,Rodney,Rodney
Mount Eden West,Auckland-University,OTHER,6,EDUCATION,Mount Eden West,-36.88382084,174.75357383,Auckland-University,-36.85143057,174.76906469,3.8562641511650457,Waitakere,Waitakere
Hutt Central South,Hutt Central South,OTHER,9,EDUCATION,Hutt Central South,-41.21349159,174.90936129,Hutt Central South,-41.21349159,174.90936129,0.0,Hutt city,Hutt city
Gleniti South,Gleniti South,OTHER,6,EDUCATION,Gleniti South,-44.3836929,171.19636587,Gleniti South,-44.3836929,171.19636587,0.0,Timaru,Timaru
Rototuna Central,Rototuna North,OTHER,9,EDUCATION,Rototuna Central,-37.72662295,175.26539165,Rototuna North,-37.71737955,175.26505049,1.0282570975413268,Hamilton,Hamilton
Dunedin Central,Campus South,OTHER,9,EDUCATION,Dunedin Central,-45.87712471,170.50291221,Campus South,-45.86793792,170.51211679,1.2455282614699783,Dunedin,Dunedin
Deans Bush,Ilam University,OTHER,6,EDUCATION,Deans Bush,-43.52473249,172.59447189,Ilam University,-43.52336127,172.57826459,1.3155922348952152,Christchurch,Christchurch
Mount Eden North,Auckland-University,OTHER,6,EDUCATION,Mount Eden North,-36.8748348,174.76097949,Auckland-University,-36.85143057,174.76906469,2.7000053502164607,Waitakere,Waitakere
Ilam North,Ilam University,OTHER,15,EDUCATION,Ilam North,-43.51329549,172.5691116,Ilam University,-43.52336127,172.57826459,1.3406901781735128,Christchurch,Christchurch
Witherlea East,Witherlea East,OTHER,9,EDUCATION,Witherlea East,-41.53819682,173.9585948,Witherlea East,-41.53819682,173.9585948,0.0,Marlborough,Marlborough
Iona,Iona,OTHER,6,EDUCATION,Iona,-39.67719283,176.87643265,Iona,-39.67719283,176.87643265,0.0,Hastings city,Hastings city
Hornby South,Hornby West,OTHER,6,EDUCATION,Hornby South,-43.54829435,172.53309133,Hornby West,-43.54456745,172.5156459,1.4658301940331175,Christchurch,Christchurch
Hataitai North,Wellington University,OTHER,6,EDUCATION,Hataitai North,-41.30162529,174.79629811,Wellington University,-41.289084,174.7676253,2.7717628417396813,Wellington,Wellington
Raglan,Raglan,OTHER,9,EDUCATION,Raglan,-37.81138720000001,174.8538483,Raglan,-37.81138720000001,174.8538483,0.0,Waikato,Waikato
North East Valley Knox,Campus South,OTHER,18,EDUCATION,North East Valley Knox,-45.85238619,170.52237253,Campus South,-45.86793792,170.51211679,1.902920493420002,Dunedin,Dunedin
Burwood,Travis Wetlands,OTHER,6,EDUCATION,Burwood,-43.49555459,172.68488895,Travis Wetlands,-43.48560388,172.68870014,1.1483894914411297,Christchurch,Christchurch
Hillsborough West (Auckland),Auckland-University,OTHER,6,EDUCATION,Hillsborough West (Auckland),-36.91988593,174.74732339,Auckland-University,-36.85143057,174.76906469,7.8536443955442365,Waitakere,Waitakere
Huntly East,Huntly East,OTHER,6,EDUCATION,Huntly East,-37.55408564,175.16553246,Huntly East,-37.55408564,175.16553246,0.0,Waikato,Waikato
Karori South,Karori East,OTHER,6,EDUCATION,Karori South,-41.28902351,174.73328551,Karori East,-41.28702587,174.747422,1.2018388714042678,Wellington,Wellington
Rolleston South West,Rolleston South West,OTHER,18,EDUCATION,Rolleston South West,-43.6149097,172.37458523,Rolleston South West,-43.6149097,172.37458523,0.0,Selwyn,Selwyn
Stratford North,Stratford Central,OTHER,6,EDUCATION,Stratford North,-39.32802895,174.28261319,Stratford Central,-39.3375964,174.28910646,1.2015257510911064,Stratford,Stratford
Pegasus,Pegasus,OTHER,9,EDUCATION,Pegasus,-43.31136296,172.6965139,Pegasus,-43.31136296,172.6965139,0.0,Waimakariri,Waimakariri
Mountview,Taupo Central East,OTHER,6,EDUCATION,Mountview,-38.68673952,176.09245067,Taupo Central East,-38.68453849,176.08132064,0.9965766995734402,Taupo,Taupo
Omaio,Grampians,OTHER,6,EDUCATION,Omaio,-41.32459713,173.24438648,Grampians,-41.29660057,173.27351504,3.9509858914837306,Nelson,Nelson
Tawa South,Tawa Central,OTHER,9,EDUCATION,Tawa South,-41.18147753,174.81690066,Tawa Central,-41.17402334,174.82717262,1.1941917667641344,Wellington,Porirua
Newtown West,Wellington University,OTHER,6,EDUCATION,Newtown West,-41.31289315,174.77608237,Wellington University,-41.289084,174.7676253,2.7400949655000564,Wellington,Wellington
Papanui East,Strowan,OTHER,6,EDUCATION,Papanui East,-43.49804758,172.61506457,Strowan,-43.50761954,172.60874654,1.1800488364767825,Christchurch,Christchurch
The Brook,Rutherford,OTHER,9,EDUCATION,The Brook,-41.3006165,173.29144468,Rutherford,-41.28072441,173.28230759,2.3399287993544835,Nelson,Nelson
Wilton,Northland (Wellington City),OTHER,6,EDUCATION,Wilton,-41.26835527,174.76073653,Northland (Wellington City),-41.27908062,174.76019207,1.1934721726883883,Wellington,Wellington
Kelburn,Wellington University,OTHER,6,EDUCATION,Kelburn,-41.28798133,174.76045619,Wellington University,-41.289084,174.7676253,0.6114098210907954,Wellington,Wellington
Kaikohe,Kaikohe,OTHER,6,EDUCATION,Kaikohe,-35.40792422,173.79767516,Kaikohe,-35.40792422,173.79767516,0.0,Far North,Far North
Dixon Street,Wellington University,OTHER,9,EDUCATION,Dixon Street,-41.29101921,174.77469531,Wellington University,-41.289084,174.7676253,0.6286703078985575,Wellington,Wellington
Greensboro,Hillcrest West (Hamilton City),OTHER,12,EDUCATION,Greensboro,-37.78580589,175.31016401,Hillcrest West (Hamilton City),-37.79546663,175.31326581,1.108264526374517,Hamilton,Hamilton
Paraparaumu Beach East,Paraparaumu Beach East,OTHER,9,EDUCATION,Paraparaumu Beach East,-40.89483919,174.99338163,Paraparaumu Beach East,-40.89483919,174.99338163,0.0,Kapiti Coast,Kapiti Coast
Karori East,Wellington University,OTHER,6,EDUCATION,Karori East,-41.28702587,174.747422,Wellington University,-41.289084,174.7676253,1.7034700303134658,Wellington,Wellington
Tangiwai,Raetihi,OTHER,6,EDUCATION,Tangiwai,-39.36236325,175.16766499,Raetihi,-39.42926305,175.27603962,11.918933928166703,Ruapehu,Ruapehu
Mairehau North,Mairehau South,OTHER,6,EDUCATION,Mairehau North,-43.49292661,172.63819328,Mairehau South,-43.50208583,172.64539115,1.1723234995611098,Christchurch,Christchurch
Springlands,Springlands,OTHER,6,EDUCATION,Springlands,-41.50422292,173.93617831,Springlands,-41.50422292,173.93617831,0.0,Marlborough,Marlborough
Parnell West,Auckland-University,OTHER,9,EDUCATION,Parnell West,-36.85679261,174.77798053,Auckland-University,-36.85143057,174.76906469,0.9923641456621488,Waitakere,Waitakere
Gardens (Dunedin City),Campus South,OTHER,21,EDUCATION,Gardens (Dunedin City),-45.85877849,170.51916854,Campus South,-45.86793792,170.51211679,1.1556226596220582,Dunedin,Dunedin
Newtown West,Mount Cook East,OTHER,6,EDUCATION,Newtown West,-41.31289315,174.77608237,Mount Cook East,-41.30251481,174.77750144,1.160089982551634,Wellington,Wellington
Sockburn North,Ilam University,OTHER,6,EDUCATION,Sockburn North,-43.5324799,172.55741654,Ilam University,-43.52336127,172.57826459,1.9629358763196736,Christchurch,Christchurch
Stratford Central,Stratford Central,OTHER,6,EDUCATION,Stratford Central,-39.3375964,174.28910646,Stratford Central,-39.3375964,174.28910646,0.0,Stratford,Stratford
Redwood North,Redwood North,OTHER,6,EDUCATION,Redwood North,-43.46919569,172.62469572,Redwood North,-43.46919569,172.62469572,0.0,Christchurch,Christchurch
Mount Cook East,Vivian West,OTHER,6,EDUCATION,Mount Cook East,-41.30251481,174.77750144,Vivian West,-41.2946931,174.77283972,0.9529409000211886,Wellington,Wellington
Karori East,Karori East,OTHER,6,EDUCATION,Karori East,-41.28702587,174.747422,Karori East,-41.28702587,174.747422,0.0,Wellington,Wellington
Templemore,Templemore,OTHER,6,EDUCATION,Templemore,-41.34152248,173.20418736,Templemore,-41.34152248,173.20418736,0.0,Tasman,Tasman
McLean Park,Nelson Park,OTHER,6,EDUCATION,McLean Park,-39.5083024,176.9160949,Nelson Park,-39.49765371,176.90801557,1.372059958268525,Hastings,Hastings
Rutland,Papanui East,OTHER,6,EDUCATION,Rutland,-43.50650406,172.62267483,Papanui East,-43.49804758,172.61506457,1.1229219458314026,Christchurch,Christchurch
Sumner,Sumner,OTHER,9,EDUCATION,Sumner,-43.57493364,172.7635625,Sumner,-43.57493364,172.7635625,0.0,Christchurch,Christchurch
Rototuna South,Rototuna North,OTHER,6,EDUCATION,Rototuna South,-37.73648973,175.26994776,Rototuna North,-37.71737955,175.26505049,2.1681653957240634,Hamilton,Hamilton
Ruby Bay-Mapua,Ruby Bay-Mapua,OTHER,9,EDUCATION,Ruby Bay-Mapua,-41.24162526,173.08049026,Ruby Bay-Mapua,-41.24162526,173.08049026,0.0,Tasman,Tasman
Rolleston North East,Rolleston North East,OTHER,18,EDUCATION,Rolleston North East,-43.59059543,172.39602587,Rolleston North East,-43.59059543,172.39602587,0.0,Selwyn,Selwyn
New Brighton,South New Brighton,OTHER,12,EDUCATION,New Brighton,-43.51368514,172.72951195,South New Brighton,-43.53129617,172.73917693,2.107611989343309,Christchurch,
Rolleston North West,Rolleston North East,OTHER,9,EDUCATION,Rolleston North West,-43.60086348,172.36340669999996,Rolleston North East,-43.59059543,172.39602587,2.8642256998376667,Selwyn,Selwyn
Riccarton West,Ilam University,OTHER,12,EDUCATION,Riccarton West,-43.53414393,172.59138797,Ilam University,-43.52336127,172.57826459,1.5990345708890934,Christchurch,Christchurch
Malvern,Papanui East,OTHER,6,EDUCATION,Malvern,-43.5022149,172.63050731,Papanui East,-43.49804758,172.61506457,1.328979937530763,Christchurch,Christchurch
St Martins,St Martins,OTHER,12,EDUCATION,St Martins,-43.5572164,172.6539556,St Martins,-43.5572164,172.6539556,0.0,Christchurch,Christchurch
Motueka North,Motueka West,OTHER,9,EDUCATION,Motueka North,-41.1058919,173.01318855,Motueka West,-41.12544913,172.99560963,2.626366783557485,Tasman,Tasman
Karori Park,Wellington University,OTHER,6,EDUCATION,Karori Park,-41.28258876,174.72565725,Wellington University,-41.289084,174.7676253,3.5802408448160152,Wellington,Wellington
Papamoa Beach North,Doncaster,OTHER,12,EDUCATION,Papamoa Beach North,-37.702805700000006,176.29535171,Doncaster,-37.71059488,176.29681832,0.8756743277484401,Western Bay of Plenty,Western Bay of Plenty
Newmarket,Auckland-University,OTHER,6,EDUCATION,Newmarket,-36.86853889,174.77706299,Auckland-University,-36.85143057,174.76906469,2.0310898024325565,Waitakere,Waitakere
Pine Hill-Dalmore,Campus South,OTHER,12,EDUCATION,Pine Hill-Dalmore,-45.84825689,170.51388061,Campus South,-45.86793792,170.51211679,2.192689200261846,Dunedin,Dunedin
Motiti,Doncaster,OTHER,6,EDUCATION,Motiti,-37.71900661,176.34389997,Doncaster,-37.71059488,176.29681832,4.245728467341459,Western Bay of Plenty,Western Bay of Plenty
Bryndwr South,Strowan,OTHER,9,EDUCATION,Bryndwr South,-43.5066813,172.59635325,Strowan,-43.50761954,172.60874654,1.0049290663865973,Christchurch,Christchurch
Wharenui,Ilam University,OTHER,12,EDUCATION,Wharenui,-43.53501129,172.58050185,Ilam University,-43.52336127,172.57826459,1.307919259586138,Christchurch,Christchurch
Petone East,Petone East,OTHER,6,EDUCATION,Petone East,-41.2248184,174.89062655,Petone East,-41.2248184,174.89062655,0.0,Hutt city,Hutt city
Richmond (Invercargill City),Invercargill Central,OTHER,6,EDUCATION,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill
Silverstream (Upper Hutt City),Silverstream (Upper Hutt City),OTHER,9,EDUCATION,Silverstream (Upper Hutt City),-41.15226988,175.00981756,Silverstream (Upper Hutt City),-41.15226988,175.00981756,0.0,Upper Hutt,Upper Hutt
