SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Waitohi (Marlborough District),Marlborough Sounds East,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,27,Waitohi (Marlborough District),-41.2943994,173.99961791,Marlborough Sounds East,-41.3212678,174.04011823,4.513276692675234,Marlborough,Marlborough,Marlborough,Marlborough,41
Petone Central,Thorndon,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,21,Petone Central,-41.22362356,174.86969444,Thorndon,-41.27246445,174.77422734,9.65382593696916,Hutt city,Wellington,Wellington,Wellington,3997
Hauraki Plains East,Thames Central,-999,51,9,-999,-999,-999,-999,-999,-999,-999,63,Hauraki Plains East,-37.23819335,175.54353689,Thames Central,-37.14032281,175.54142966,10.884308261920813,Hauraki,Thames-Coromandel,Waikato,Waikato,65
Tahawai,Paeroa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tahawai,-37.519043,175.89229314,Paeroa,-37.37535256,175.67393688,25.037191972450326,Western Bay of Plenty,Hauraki,Bay of Plenty,Waikato,111
Riverlea,Te Rapa South,-999,36,12,-999,-999,-999,-999,-999,-999,-999,51,Riverlea,-37.80516292,175.32490337,Te Rapa South,-37.76141322,175.24114614,8.822998773218924,Hamilton,Hamilton,Waikato,Waikato,2381
Matamata South,Te Aroha East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Matamata South,-37.81753128,175.77119821,Te Aroha East,-37.53376025,175.70924175,32.02156372117085,Matamata-Piako,Matamata-Piako,Waikato,Waikato,54
Maungatapu,Tauranga Central,-999,162,30,12,9,-999,9,-999,-999,-999,225,Maungatapu,-37.7183264,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,1266
Koutu,Rotorua Central,-999,111,6,12,6,-999,6,-999,-999,-999,150,Koutu,-38.12154784,176.23823269,Rotorua Central,-38.13568521,176.25424012,2.1051419335701955,Rotorua,Rotorua,Waikato,Bay of Plenty,602
Otorohanga,Frankton Junction ,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Otorohanga,-38.18318495,175.21677363,Frankton Junction,-37.79650916,175.26255885,43.18319434297214,Otorohanga,Hamilton,Waikato,Waikato,28
Matarawa,Putararu,-999,30,-999,6,-999,-999,-999,-999,-999,-999,36,Matarawa,-38.22438631,175.85345651,Putararu,-38.05293796,175.78466514,19.99096624073266,South Waikato,South Waikato,Waikato,Waikato,68
