SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Roslyn (Dunedin City),Dunedin Central,DRIVE_COMPANY_VEHICLE,33,EDUCATION,Roslyn (Dunedin City),-45.86711907,170.4917572,Dunedin Central,-45.87712471,170.50291221,1.4084328147348881,Dunedin,Dunedin
Massey South,Henderson Central,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Massey South,-36.84994988,174.61625895,Henderson Central,-36.88968581,174.62928426,4.567832795835001,Waitakere,Waitakere
Trents,Trents,DRIVE_COMPANY_VEHICLE,21,EDUCATION,Trents,-43.59541921,172.46487554,Trents,-43.59541921,172.46487554,0.0,Selwyn,Selwyn
Ashburton East,Tinwald South,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Ashburton East,-43.90293675,171.75799844,Tinwald South,-43.92478814,171.71822146,4.006989808569549,Ashburton,Ashburton
Kumeu-Huapai,Rosebank Peninsula,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Kumeu-Huapai,-36.76998293,174.54286666,Rosebank Peninsula,-36.88086056,174.67580445,17.088376098708068,Rodney,Waitakere
Oaklands-St Kilda,Cambridge Central,DRIVE_COMPANY_VEHICLE,21,EDUCATION,Oaklands-St Kilda,-37.87830147,175.48788589,Cambridge Central,-37.89316701,175.47159053,2.185728709897224,Waipa,Waipa
Johnsonville North,Newlands South,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Johnsonville North,-41.21764248,174.80300624,Newlands South,-41.23454859,174.82124819,2.4210281114278964,Wellington,Wellington
Buller Coalfields,Westport North,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Buller Coalfields,-41.7281935,171.86681611,Westport North,-41.74413804,171.60899375,21.466316313417504,Buller,Buller
Tawa Central,Grenada North,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Tawa Central,-41.17402334,174.82717262,Grenada North,-41.17727395,174.83897037,1.0514991689522617,Porirua,Porirua
Browns Bay South West,East Tamaki,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Browns Bay South West,-36.72178932,174.72994649,East Tamaki,-36.93823242,174.88712871,27.837860241423314,Waitakere,Manukau
Weston,Maheno,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Weston,-45.08908465,170.93071905,Maheno,-45.27731871,170.70534409,27.387939920603586,Waitaki,Waitaki
Starvation Hill-Cust,Sockburn South,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Starvation Hill-Cust,-43.29262485,172.36275322,Sockburn South,-43.5449149,172.56350496,32.4019076662958,Waimakariri,Christchurch
