SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Cheltenham,Quay Street-Customs Street,FERRY,42,EDUCATION,Cheltenham,-36.82539766,174.80659852,Quay Street-Customs Street,-36.84601989,174.77646293,3.528604002496828,Waitakere,Waitakere
Te Puru,Queen Street,FERRY,9,EDUCATION,Te Puru,-36.89631822,175.00316112,Queen Street,-36.84774104,174.76524972,21.841488714875812,Manukau,Waitakere
Bayswater,Newmarket,FERRY,6,EDUCATION,Bayswater,-36.81411659,174.77797900000004,Newmarket,-36.86853889,174.77706299,6.052032644981164,,Waitakere
Belmont (Auckland),Hobson Ridge North,FERRY,9,EDUCATION,Belmont (Auckland),-36.80517747,174.78818395,Hobson Ridge North,-36.84707104,174.76276914,5.1785434310463465,Waitakere,Waitakere
Chatswood,Shortland Street,FERRY,6,EDUCATION,Chatswood,-36.81836588,174.71049977,Shortland Street,-36.84736853,174.76823915,6.066879829249335,Waitakere,Waitakere
Maraetai,Shortland Street,FERRY,9,EDUCATION,Maraetai,-36.88774867,175.03797111,Shortland Street,-36.84736853,174.76823915,24.411473516984724,Manukau,Waitakere
Gulf Harbour North,Wynyard-Viaduct,FERRY,15,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Wynyard-Viaduct,-36.8433094,174.75788827,26.198741756764413,Rodney,Waitakere
Te Puru,Hobson Ridge North,FERRY,12,EDUCATION,Te Puru,-36.89631822,175.00316112,Hobson Ridge North,-36.84707104,174.76276914,22.073812831913067,Manukau,Waitakere
Birkenhead West,Quay Street-Customs Street,FERRY,12,EDUCATION,Birkenhead West,-36.80638223,174.71287204,Quay Street-Customs Street,-36.84601989,174.77646293,7.17369872490204,Waitakere,Waitakere
Maraetai,Queen Street,FERRY,9,EDUCATION,Maraetai,-36.88774867,175.03797111,Queen Street,-36.84774104,174.76524972,24.66535775264418,Manukau,Waitakere
Te Puru,Shortland Street,FERRY,9,EDUCATION,Te Puru,-36.89631822,175.00316112,Shortland Street,-36.84736853,174.76823915,21.594381644034407,Manukau,Waitakere
Devonport,Shortland Street,FERRY,42,EDUCATION,Devonport,-36.82716648,174.79688282,Shortland Street,-36.84736853,174.76823915,3.3976657217842763,Waitakere,Waitakere
Eastern Bays ,Thorndon,FERRY,6,EDUCATION,Eastern Bays,-41.28078028,174.90926531,Thorndon,-41.27246445,174.77422734,11.322497134904792,Hutt city,Wellington
Stanley Point,Shortland Street,FERRY,21,EDUCATION,Stanley Point,-36.82656718,174.7841077,Shortland Street,-36.84736853,174.76823915,2.7100419472117228,,Waitakere
Birkenhead South,Hobson Ridge North,FERRY,12,EDUCATION,Birkenhead South,-36.81601936,174.73031198,Hobson Ridge North,-36.84707104,174.76276914,4.501819181190531,Waitakere,Waitakere
Hobsonville Point,Hobson Ridge North,FERRY,9,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Hobson Ridge North,-36.84707104,174.76276914,10.583062294362943,Waitakere,Waitakere
Northcote Point (Auckland),Shortland Street,FERRY,9,EDUCATION,Northcote Point (Auckland),-36.81611854,174.74451838,Shortland Street,-36.84736853,174.76823915,4.065894516489537,Waitakere,Waitakere
Gulf Harbour North,Quay Street-Customs Street,FERRY,21,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Quay Street-Customs Street,-36.84601989,174.77646293,26.347316169433345,Rodney,Waitakere
Gulf Harbour South,Shortland Street,FERRY,9,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Shortland Street,-36.84736853,174.76823915,25.049156781397176,Rodney,Waitakere
Stanley Point,Queen Street,FERRY,21,EDUCATION,Stanley Point,-36.82656718,174.7841077,Queen Street,-36.84774104,174.76524972,2.8913383532773973,,Waitakere
Hobsonville Point,Quay Street-Customs Street,FERRY,39,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Quay Street-Customs Street,-36.84601989,174.77646293,11.581232627384555,Waitakere,Waitakere
Oneroa West,Quay Street-Customs Street,FERRY,12,EDUCATION,Oneroa West,-36.78767524,174.99965402,Quay Street-Customs Street,-36.84601989,174.77646293,20.900348924465625,Auckland,Waitakere
Half Moon Bay North East,Wynyard-Viaduct,FERRY,6,EDUCATION,Half Moon Bay North East,-36.88645568,174.90494659,Wynyard-Viaduct,-36.8433094,174.75788827,13.934525598024571,Manukau,Waitakere
Army Bay,Quay Street-Customs Street,FERRY,9,EDUCATION,Army Bay,-36.60509803,174.82325733,Quay Street-Customs Street,-36.84601989,174.77646293,27.111969899505766,Rodney,Waitakere
Belmont (Auckland),Quay Street-Customs Street,FERRY,30,EDUCATION,Belmont (Auckland),-36.80517747,174.78818395,Quay Street-Customs Street,-36.84601989,174.77646293,4.65975721745355,Waitakere,Waitakere
Surfdale,Queen Street,FERRY,21,EDUCATION,Surfdale,-36.79613493,175.02985004,Queen Street,-36.84774104,174.76524972,24.24149667327109,Auckland,Waitakere
Beach Haven West,Queen Street,FERRY,6,EDUCATION,Beach Haven West,-36.79327636,174.68619139,Queen Street,-36.84774104,174.76524972,9.284417957157297,Waitakere,Waitakere
Gulf Harbour North,Shortland Street,FERRY,9,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Shortland Street,-36.84736853,174.76823915,26.550659273978628,Rodney,Waitakere
Te Puru,Quay Street-Customs Street,FERRY,18,EDUCATION,Te Puru,-36.89631822,175.00316112,Quay Street-Customs Street,-36.84601989,174.77646293,20.927030085568962,Manukau,Waitakere
Eastbourne,Pipitea-Kaiwharawhara,FERRY,18,EDUCATION,Eastbourne,-41.30031562,174.89432219999995,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,9.29965070694399,Hutt city,Wellington
Howick East,Wynyard-Viaduct,FERRY,9,EDUCATION,Howick East,-36.90088621,174.930388,Wynyard-Viaduct,-36.8433094,174.75788827,16.626494797242074,Manukau,Waitakere
Narrow Neck,Symonds Street North West,FERRY,12,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Symonds Street North West,-36.85498533,174.76593774,5.151700208420034,Waitakere,Waitakere
Hobsonville Point,Queen Street,FERRY,24,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Queen Street,-36.84774104,174.76524972,10.810072419765682,Waitakere,Waitakere
Oneroa West,Grafton,FERRY,6,EDUCATION,Oneroa West,-36.78767524,174.99965402,Grafton,-36.86013178,174.76828549,22.113889119931468,Auckland,Waitakere
Ostend,Quay Street-Customs Street,FERRY,9,EDUCATION,Ostend,-36.79263832,175.05220466,Quay Street-Customs Street,-36.84601989,174.77646293,25.252609033378157,Auckland,Waitakere
Belmont (Auckland),Queen Street,FERRY,24,EDUCATION,Belmont (Auckland),-36.80517747,174.78818395,Queen Street,-36.84774104,174.76524972,5.154297681265316,Waitakere,Waitakere
Onetangi,Shortland Street,FERRY,9,EDUCATION,Onetangi,-36.79584373,175.07839806,Shortland Street,-36.84736853,174.76823915,28.196110787158013,Auckland,Waitakere
Belmont (Auckland),Victoria Park ,FERRY,6,EDUCATION,Belmont (Auckland),-36.80517747,174.78818395,Victoria Park,-36.84857807,174.75659124,5.585389721172147,Waitakere,Waitakere
Eastern Bays ,Wellington Central,FERRY,42,EDUCATION,Eastern Bays,-41.28078028,174.90926531,Wellington Central,-41.2849345,174.77572593,11.167934987659338,Hutt city,Wellington
Birkenhead South,Queen Street,FERRY,15,EDUCATION,Birkenhead South,-36.81601936,174.73031198,Queen Street,-36.84774104,174.76524972,4.7021855454884784,Waitakere,Waitakere
Oneroa West,Queen Street,FERRY,9,EDUCATION,Oneroa West,-36.78767524,174.99965402,Queen Street,-36.84774104,174.76524972,21.908772383768568,Auckland,Waitakere
Mellons Bay,Wynyard-Viaduct,FERRY,15,EDUCATION,Mellons Bay,-36.88715946,174.93040248,Wynyard-Viaduct,-36.8433094,174.75788827,16.103038376530428,Manukau,Waitakere
Oneroa West,Wynyard-Viaduct,FERRY,15,EDUCATION,Oneroa West,-36.78767524,174.99965402,Wynyard-Viaduct,-36.8433094,174.75788827,22.393242804301977,Auckland,Waitakere
Devonport,Freemans Bay,FERRY,6,EDUCATION,Devonport,-36.82716648,174.79688282,Freemans Bay,-36.85220128,174.7504171,4.984751312436782,Waitakere,Waitakere
Half Moon Bay West,Wynyard-Viaduct,FERRY,9,EDUCATION,Half Moon Bay West,-36.88602382,174.89665015,Wynyard-Viaduct,-36.8433094,174.75788827,13.226736097037985,Manukau,Waitakere
West Harbour Luckens Point,Wynyard-Viaduct,FERRY,6,EDUCATION,West Harbour Luckens Point,-36.81802341,174.63695983,Wynyard-Viaduct,-36.8433094,174.75788827,11.124023102053657,Waitakere,Waitakere
Surfdale,Surfdale,FERRY,6,EDUCATION,Surfdale,-36.79613493,175.02985004,Surfdale,-36.79613493,175.02985004,0.0,Auckland,Auckland
Surfdale,Quay Street-Customs Street,FERRY,12,EDUCATION,Surfdale,-36.79613493,175.02985004,Quay Street-Customs Street,-36.84601989,174.77646293,23.22675492173999,Auckland,Waitakere
Birkenhead South,Wynyard-Viaduct,FERRY,6,EDUCATION,Birkenhead South,-36.81601936,174.73031198,Wynyard-Viaduct,-36.8433094,174.75788827,3.9028435824965326,Waitakere,Waitakere
Sunkist Bay,Quay Street-Customs Street,FERRY,12,EDUCATION,Sunkist Bay,-36.88262674,174.99783159,Quay Street-Customs Street,-36.84601989,174.77646293,20.10975999838137,Manukau,Waitakere
Onetangi,Hobson Ridge North,FERRY,6,EDUCATION,Onetangi,-36.79584373,175.07839806,Hobson Ridge North,-36.84707104,174.76276914,28.666482748623064,Auckland,Waitakere
Hauraki,Quay Street-Customs Street,FERRY,15,EDUCATION,Hauraki,-36.80062296,174.77694957,Quay Street-Customs Street,-36.84601989,174.77646293,5.0480941437782265,Waitakere,Waitakere
Surfdale,Shortland Street,FERRY,6,EDUCATION,Surfdale,-36.79613493,175.02985004,Shortland Street,-36.84736853,174.76823915,23.9732260198065,Auckland,Waitakere
Stanley Point,Hobson Ridge North,FERRY,27,EDUCATION,Stanley Point,-36.82656718,174.7841077,Hobson Ridge North,-36.84707104,174.76276914,2.96720580671429,,Waitakere
Oneroa East-Palm Beach,Quay Street-Customs Street,FERRY,6,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Quay Street-Customs Street,-36.84601989,174.77646293,25.64304420144819,Auckland,Waitakere
Onetangi,Quay Street-Customs Street,FERRY,12,EDUCATION,Onetangi,-36.79584373,175.07839806,Quay Street-Customs Street,-36.84601989,174.77646293,27.44912715147734,Auckland,Waitakere
Oneroa West,Victoria Park ,FERRY,6,EDUCATION,Oneroa West,-36.78767524,174.99965402,Victoria Park,-36.84857807,174.75659124,22.671565265839767,Auckland,Waitakere
Narrow Neck,Shortland Street,FERRY,36,EDUCATION,Narrow Neck,-36.81569367,174.79661047,Shortland Street,-36.84736853,174.76823915,4.333707834702007,Waitakere,Waitakere
Cockle Bay,Wynyard-Viaduct,FERRY,6,EDUCATION,Cockle Bay,-36.89765568,174.94328238,Wynyard-Viaduct,-36.8433094,174.75788827,17.564080657517962,Manukau,Waitakere
Half Moon Bay West,Shortland Street,FERRY,9,EDUCATION,Half Moon Bay West,-36.88602382,174.89665015,Shortland Street,-36.84736853,174.76823915,12.205293090666995,Manukau,Waitakere
Oneroa West,Shortland Street,FERRY,9,EDUCATION,Oneroa West,-36.78767524,174.99965402,Shortland Street,-36.84736853,174.76823915,21.642791030204087,Auckland,Waitakere
